labels,images
datasets\data\train\labels\201807071547_029.txt,datasets\data\train\images\201807071547_029.png
datasets\data\train\labels\201807011333_034.txt,datasets\data\train\images\201807011333_034.png
datasets\data\train\labels\201807041448_041.txt,datasets\data\train\images\201807041448_041.png
datasets\data\train\labels\201807041548_039.txt,datasets\data\train\images\201807041548_039.png
datasets\data\train\labels\201807031052_040.txt,datasets\data\train\images\201807031052_040.png
datasets\data\train\labels\201807021015_007.txt,datasets\data\train\images\201807021015_007.png
datasets\data\train\labels\201806261704_017.txt,datasets\data\train\images\201806261704_017.png
datasets\data\train\labels\201807041043_017.txt,datasets\data\train\images\201807041043_017.png
datasets\data\train\labels\201806271126_056.txt,datasets\data\train\images\201806271126_056.png
datasets\data\train\labels\201806291421_035.txt,datasets\data\train\images\201806291421_035.png
datasets\data\train\labels\201807051131_043.txt,datasets\data\train\images\201807051131_043.png
datasets\data\train\labels\201807011232_047.txt,datasets\data\train\images\201807011232_047.png
datasets\data\train\labels\201807031122_006.txt,datasets\data\train\images\201807031122_006.png
datasets\data\train\labels\201807081114_013.txt,datasets\data\train\images\201807081114_013.png
datasets\data\train\labels\201807021116_032.txt,datasets\data\train\images\201807021116_032.png
datasets\data\train\labels\201806291421_053.txt,datasets\data\train\images\201806291421_053.png
datasets\data\train\labels\201807061320_043.txt,datasets\data\train\images\201807061320_043.png
datasets\data\train\labels\201807021116_026.txt,datasets\data\train\images\201807021116_026.png
datasets\data\train\labels\201807081615_019.txt,datasets\data\train\images\201807081615_019.png
datasets\data\train\labels\201807041548_038.txt,datasets\data\train\images\201807041548_038.png
datasets\data\train\labels\201806271227_045.txt,datasets\data\train\images\201806271227_045.png
datasets\data\train\labels\201807021316_012.txt,datasets\data\train\images\201807021316_012.png
datasets\data\train\labels\201806301509_020.txt,datasets\data\train\images\201806301509_020.png
datasets\data\train\labels\201806301609_003.txt,datasets\data\train\images\201806301609_003.png
datasets\data\train\labels\201806271527_062.txt,datasets\data\train\images\201806271527_062.png
datasets\data\train\labels\201807011232_009.txt,datasets\data\train\images\201807011232_009.png
datasets\data\train\labels\201806271257_024.txt,datasets\data\train\images\201806271257_024.png
datasets\data\train\labels\201807061450_002.txt,datasets\data\train\images\201807061450_002.png
datasets\data\train\labels\201806271557_005.txt,datasets\data\train\images\201806271557_005.png
datasets\data\train\labels\201807061450_010.txt,datasets\data\train\images\201807061450_010.png
datasets\data\train\labels\201806291036_002.txt,datasets\data\train\images\201806291036_002.png
datasets\data\train\labels\201807041518_029.txt,datasets\data\train\images\201807041518_029.png
datasets\data\train\labels\201806301509_053.txt,datasets\data\train\images\201806301509_053.png
datasets\data\train\labels\201807071115_000.txt,datasets\data\train\images\201807071115_000.png
datasets\data\train\labels\201806271557_024.txt,datasets\data\train\images\201806271557_024.png
datasets\data\train\labels\201807081144_056.txt,datasets\data\train\images\201807081144_056.png
datasets\data\train\labels\201807041113_055.txt,datasets\data\train\images\201807041113_055.png
datasets\data\train\labels\201806291243_042.txt,datasets\data\train\images\201806291243_042.png
datasets\data\train\labels\201807011403_012.txt,datasets\data\train\images\201807011403_012.png
datasets\data\train\labels\201807051401_010.txt,datasets\data\train\images\201807051401_010.png
datasets\data\train\labels\201807061219_032.txt,datasets\data\train\images\201807061219_032.png
datasets\data\train\labels\201807041043_027.txt,datasets\data\train\images\201807041043_027.png
datasets\data\train\labels\201806301740_001.txt,datasets\data\train\images\201806301740_001.png
datasets\data\train\labels\201806271728_020.txt,datasets\data\train\images\201806271728_020.png
datasets\data\train\labels\201807011102_035.txt,datasets\data\train\images\201807011102_035.png
datasets\data\train\labels\201806271657_055.txt,datasets\data\train\images\201806271657_055.png
datasets\data\train\labels\201807011433_042.txt,datasets\data\train\images\201807011433_042.png
datasets\data\train\labels\201807041113_013.txt,datasets\data\train\images\201807041113_013.png
datasets\data\train\labels\201807031022_017.txt,datasets\data\train\images\201807031022_017.png
datasets\data\train\labels\201806301709_066.txt,datasets\data\train\images\201806301709_066.png
datasets\data\train\labels\201806291621_020.txt,datasets\data\train\images\201806291621_020.png
datasets\data\train\labels\201806271126_018.txt,datasets\data\train\images\201806271126_018.png
datasets\data\train\labels\201806291143_033.txt,datasets\data\train\images\201806291143_033.png
datasets\data\train\labels\201806301439_031.txt,datasets\data\train\images\201806301439_031.png
datasets\data\train\labels\201807081214_066.txt,datasets\data\train\images\201807081214_066.png
datasets\data\train\labels\201807051640_009.txt,datasets\data\train\images\201807051640_009.png
datasets\data\train\labels\201806301409_057.txt,datasets\data\train\images\201806301409_057.png
datasets\data\train\labels\201806261704_058.txt,datasets\data\train\images\201806261704_058.png
datasets\data\train\labels\201807061018_006.txt,datasets\data\train\images\201807061018_006.png
datasets\data\train\labels\201807081144_023.txt,datasets\data\train\images\201807081144_023.png
datasets\data\train\labels\201806291721_005.txt,datasets\data\train\images\201806291721_005.png
datasets\data\train\labels\201806301439_022.txt,datasets\data\train\images\201806301439_022.png
datasets\data\train\labels\201807051100_056.txt,datasets\data\train\images\201807051100_056.png
datasets\data\train\labels\201807011433_043.txt,datasets\data\train\images\201807011433_043.png
datasets\data\train\labels\201807071010_005.txt,datasets\data\train\images\201807071010_005.png
datasets\data\train\labels\201807061148_027.txt,datasets\data\train\images\201807061148_027.png
datasets\data\train\labels\201806271126_034.txt,datasets\data\train\images\201806271126_034.png
datasets\data\train\labels\201807041113_042.txt,datasets\data\train\images\201807041113_042.png
datasets\data\train\labels\201806301609_049.txt,datasets\data\train\images\201806301609_049.png
datasets\data\train\labels\201807061520_033.txt,datasets\data\train\images\201807061520_033.png
datasets\data\train\labels\201806261534_054.txt,datasets\data\train\images\201806261534_054.png
datasets\data\train\labels\201806271257_056.txt,datasets\data\train\images\201806271257_056.png
datasets\data\train\labels\201807081044_047.txt,datasets\data\train\images\201807081044_047.png
datasets\data\train\labels\201807011303_041.txt,datasets\data\train\images\201807011303_041.png
datasets\data\train\labels\201806271627_007.txt,datasets\data\train\images\201806271627_007.png
datasets\data\train\labels\201806281022_013.txt,datasets\data\train\images\201806281022_013.png
datasets\data\train\labels\201807011232_021.txt,datasets\data\train\images\201807011232_021.png
datasets\data\train\labels\201806291421_039.txt,datasets\data\train\images\201806291421_039.png
datasets\data\train\labels\201807051100_055.txt,datasets\data\train\images\201807051100_055.png
datasets\data\train\labels\201807011303_026.txt,datasets\data\train\images\201807011303_026.png
datasets\data\train\labels\201807041548_023.txt,datasets\data\train\images\201807041548_023.png
datasets\data\train\labels\201806301509_056.txt,datasets\data\train\images\201806301509_056.png
datasets\data\train\labels\201807021246_008.txt,datasets\data\train\images\201807021246_008.png
datasets\data\train\labels\201807031007_002.txt,datasets\data\train\images\201807031007_002.png
datasets\data\train\labels\201807071547_036.txt,datasets\data\train\images\201807071547_036.png
datasets\data\train\labels\201807041213_024.txt,datasets\data\train\images\201807041213_024.png
datasets\data\train\labels\201807011633_023.txt,datasets\data\train\images\201807011633_023.png
datasets\data\train\labels\201807031022_012.txt,datasets\data\train\images\201807031022_012.png
datasets\data\train\labels\201807051301_026.txt,datasets\data\train\images\201807051301_026.png
datasets\data\train\labels\201807081445_011.txt,datasets\data\train\images\201807081445_011.png
datasets\data\train\labels\201806301308_018.txt,datasets\data\train\images\201806301308_018.png
datasets\data\train\labels\201806271126_051.txt,datasets\data\train\images\201806271126_051.png
datasets\data\train\labels\201806271427_033.txt,datasets\data\train\images\201806271427_033.png
datasets\data\train\labels\201807021347_033.txt,datasets\data\train\images\201807021347_033.png
datasets\data\train\labels\201806291314_001.txt,datasets\data\train\images\201806291314_001.png
datasets\data\train\labels\201806301609_056.txt,datasets\data\train\images\201806301609_056.png
datasets\data\train\labels\201806291243_000.txt,datasets\data\train\images\201806291243_000.png
datasets\data\train\labels\201807021216_034.txt,datasets\data\train\images\201807021216_034.png
datasets\data\train\labels\201807051401_045.txt,datasets\data\train\images\201807051401_045.png
datasets\data\train\labels\201807081244_045.txt,datasets\data\train\images\201807081244_045.png
datasets\data\train\labels\201807081114_033.txt,datasets\data\train\images\201807081114_033.png
datasets\data\train\labels\201807051030_031.txt,datasets\data\train\images\201807051030_031.png
datasets\data\train\labels\201806291243_050.txt,datasets\data\train\images\201806291243_050.png
datasets\data\train\labels\201806281113_018.txt,datasets\data\train\images\201806281113_018.png
datasets\data\train\labels\201807051201_043.txt,datasets\data\train\images\201807051201_043.png
datasets\data\train\labels\201806291143_016.txt,datasets\data\train\images\201806291143_016.png
datasets\data\train\labels\201806291421_052.txt,datasets\data\train\images\201806291421_052.png
datasets\data\train\labels\201806261604_016.txt,datasets\data\train\images\201806261604_016.png
datasets\data\train\labels\201807051231_011.txt,datasets\data\train\images\201807051231_011.png
datasets\data\train\labels\201807011703_025.txt,datasets\data\train\images\201807011703_025.png
datasets\data\train\labels\201807041143_062.txt,datasets\data\train\images\201807041143_062.png
datasets\data\train\labels\201807071215_016.txt,datasets\data\train\images\201807071215_016.png
datasets\data\train\labels\201806281629_016.txt,datasets\data\train\images\201806281629_016.png
datasets\data\train\labels\201807071045_027.txt,datasets\data\train\images\201807071045_027.png
datasets\data\train\labels\201807021015_003.txt,datasets\data\train\images\201807021015_003.png
datasets\data\train\labels\201806271227_029.txt,datasets\data\train\images\201806271227_029.png
datasets\data\train\labels\201806301639_005.txt,datasets\data\train\images\201806301639_005.png
datasets\data\train\labels\201807041548_036.txt,datasets\data\train\images\201807041548_036.png
datasets\data\train\labels\201807011603_025.txt,datasets\data\train\images\201807011603_025.png
datasets\data\train\labels\201807021146_022.txt,datasets\data\train\images\201807021146_022.png
datasets\data\train\labels\201807051231_067.txt,datasets\data\train\images\201807051231_067.png
datasets\data\train\labels\201807071145_032.txt,datasets\data\train\images\201807071145_032.png
datasets\data\train\labels\201807071115_008.txt,datasets\data\train\images\201807071115_008.png
