filename,width,height,class,xmin,xmax,ymin,ymax
201806260750_019,21,18,Passengership,398,419,266,284
201806260750_014,41,21,Motorboat,250,291,273,294
201806260750_001,13,9,Motorboat,49,62,288,297
201806260750_004,6,7,Motorboat,785,791,269,276
201806260750_013,29,18,Motorboat,450,479,269,287
201806260750_021,39,20,Motorboat,1197,1236,265,285
201806260750_015,36,12,Miscboat,945,981,268,280
201806260750_021,10,14,Seamark,966,976,265,279
201806260750_021,8,18,Seamark,998,1006,270,288
201806260750_021,7,24,Seamark,1017,1024,274,298
201806260801_000,64,121,Sailboat,885,949,174,295
201806260801_001,89,163,Sailboat,1026,1115,147,310
201806260801_006,47,84,Sailboat,202,249,221,305
201806260801_007,61,117,Sailboat,191,252,197,314
201806260801_005,28,89,Sailboat,592,620,199,288
201806260801_006,53,151,Sailboat,419,472,157,308
201806260801_007,58,204,Sailboat,458,516,111,315
201806260801_008,66,261,Sailboat,257,323,90,351
201806260801_007,49,184,Sailboat,384,433,128,312
201806260801_008,79,320,Sailboat,171,250,29,349
201806260801_005,22,69,Sailboat,482,504,219,288
201806260801_006,37,104,Sailboat,259,296,201,305
201806260801_007,63,142,Sailboat,250,313,172,314
201806260801_008,54,184,Sailboat,16,70,160,344
201806260801_006,83,19,Motorboat,648,731,282,301
201806260801_007,123,30,Motorboat,788,911,286,316
201806260801_008,220,51,Motorboat,742,962,315,366
201806260801_006,32,153,Sailboat,475,507,154,307
201806260801_007,72,207,Sailboat,558,630,107,314
201806260801_008,98,325,Sailboat,330,428,26,351
201806260801_006,33,201,Sailboat,610,643,109,310
201806260801_007,88,255,Sailboat,698,786,60,315
201806260801_008,138,342,Sailboat,535,673,21,363
201806260801_005,21,9,Boat,949,970,277,286
201806260801_006,34,13,Boat,947,981,283,296
201806260801_007,51,17,Boat,1152,1203,286,303
201806260801_008,55,21,Boat,1191,1246,300,321
201806260801_005,37,19,Motorboat,831,868,267,286
201806260801_006,61,31,Motorboat,759,820,265,296
201806260801_007,66,38,Motorboat,928,994,262,300
201806260801_005,34,84,Sailboat,783,817,207,291
201806260801_006,89,181,Sailboat,682,771,127,308
201806260801_007,119,242,Sailboat,811,930,82,324
201806260801_008,263,368,Sailboat,781,1044,8,376
201806260801_005,41,97,Sailboat,646,687,191,288
201806260801_006,62,153,Sailboat,488,550,151,304
201806260801_005,40,136,Sailboat,691,731,154,290
201806260801_006,44,197,Sailboat,560,604,110,307
201806260801_011,5,16,Seamark,603,608,273,289
201806260801_012,13,23,Seamark,499,512,271,294
201806260801_013,9,25,Seamark,337,346,278,303
201806260801_014,13,31,Seamark,17,30,289,320
201806260801_010,7,20,Seamark,1051,1058,269,289
201806260801_011,7,21,Seamark,874,881,271,292
201806260801_012,17,30,Seamark,861,878,268,298
201806260801_013,14,45,Seamark,874,888,271,316
201806260801_014,31,112,Seamark,1042,1073,266,378
201806260801_014,3,18,Seamark,790,793,269,287
201806260801_015,9,21,Seamark,507,516,268,289
201806260801_016,8,23,Seamark,180,188,281,304
201806260801_017,10,33,Seamark,5,15,282,315
201806260801_013,10,8,Sailboat,1235,1245,281,289
201806260801_014,17,27,Sailboat,1117,1134,259,286
201806260801_015,17,27,Sailboat,840,857,259,286
201806260801_016,18,28,Sailboat,522,540,261,289
201806260801_017,32,101,Sailboat,319,351,207,308
201806260801_012,11,21,Seamark,1194,1205,270,291
201806260801_013,5,15,Seamark,1209,1214,280,295
201806260801_014,6,21,Seamark,1201,1207,271,292
201806260801_015,11,23,Seamark,998,1009,272,295
201806260801_016,8,25,Seamark,805,813,271,296
201806260801_017,17,41,Seamark,876,893,268,309
201806260801_018,26,61,Seamark,865,891,262,323
201806260801_019,29,88,Seamark,980,1009,267,355
201806260801_020,17,28,Cruiseship,825,842,246,274
201806260801_021,18,30,Cruiseship,866,884,245,275
201806260801_022,29,25,Cruiseship,913,942,252,277
201806260801_023,21,21,Cruiseship,930,951,253,274
201806260801_019,4,10,Seamark,510,514,274,284
201806260801_020,4,11,Seamark,466,470,275,286
201806260801_021,10,20,Seamark,470,480,270,290
201806260801_022,7,17,Seamark,501,508,272,289
201806260801_023,5,16,Seamark,483,488,273,289
201806260801_024,15,24,Seamark,435,450,271,295
201806260801_019,4,10,Seamark,876,880,273,283
201806260801_020,4,11,Seamark,881,885,273,284
201806260801_021,6,14,Seamark,951,957,271,285
201806260801_022,5,15,Seamark,1044,1049,275,290
201806260801_023,10,24,Seamark,1107,1117,267,291
201806260801_007,55,196,Sailboat,599,654,120,316
201806260801_008,56,267,Sailboat,468,524,93,360
201806260801_005,12,7,Boat,964,976,278,285
201806260801_005,25,118,Sailboat,396,421,181,299
201806260801_005,20,93,Sailboat,374,394,197,290
201806260801_007,109,173,Sailboat,83,192,141,314
201806260801_006,45,201,Sailboat,78,123,129,330
201806260801_005,25,74,Sailboat,530,555,215,289
201806260801_006,46,127,Sailboat,365,411,178,305
201806260801_005,22,88,Sailboat,565,587,200,288
201806260801_006,37,108,Sailboat,318,355,198,306
201806260801_005,39,111,Sailboat,743,782,177,288
201806260801_008,79,273,Sailboat,76,155,75,348
201806260801_009,76,339,Sailboat,1202,1278,40,379
201806260801_009,136,215,Sailboat,1062,1198,140,355
201806260801_009,99,212,Sailboat,965,1064,127,339
201806260801_009,143,251,Sailboat,780,923,81,332
201806260801_009,44,75,Sailboat,464,508,225,300
201806260801_009,35,51,Sailboat,417,452,286,337
201806260801_009,177,394,Sailboat,4,181,2,396
201806260801_009,25,52,Sailboat,277,302,249,301
201806260801_005,35,10,Motorboat,434,469,278,288
201806260801_005,39,15,Motorboat,332,371,275,290
201806260801_005,34,11,Motorboat,990,1024,275,286
201806260801_023,26,8,Motorboat,424,450,276,284
201806260801_023,28,8,Motorboat,378,406,275,283
201806260801_023,37,11,Motorboat,315,352,275,286
201806260801_004,30,13,Miscboat,289,319,286,299
201806260801_010,7,18,Seamark,177,184,284,302
201806260801_010,5,14,Seamark,817,822,271,285
201806260801_012,13,18,Seamark,925,938,266,284
201806260801_024,17,30,Seamark,1192,1209,264,294
201806260801_010,19,22,Miscellaneous,1260,1279,394,416
201806260801_009,52,170,Sailboat,1071,1123,186,356
201806260811_000,20,42,Seamark,360,380,265,307
201806260811_001,15,44,Seamark,244,259,274,318
201806260811_002,20,65,Seamark,109,129,274,339
201806260811_001,5,11,Seamark,775,780,272,283
201806260811_002,6,12,Seamark,846,852,272,284
201806260811_003,7,13,Seamark,995,1002,275,288
201806260811_004,7,24,Seamark,991,998,270,294
201806260811_005,8,31,Seamark,1217,1225,277,308
201806260811_002,62,17,Miscboat,593,655,263,280
201806260811_003,68,19,Miscboat,686,754,261,280
201806260811_004,89,25,Miscboat,595,684,258,283
201806260811_005,106,29,Miscboat,656,762,258,287
201806260811_006,129,35,Miscboat,887,1016,257,292
201806260811_007,115,49,Miscboat,1166,1281,254,303
201806260811_002,34,22,Miscboat,554,588,257,279
201806260811_003,43,28,Miscboat,639,682,254,282
201806260811_004,48,32,Miscboat,544,592,251,283
201806260811_005,52,32,Miscboat,594,646,254,286
201806260811_006,64,39,Miscboat,811,875,249,288
201806260811_007,78,64,Miscboat,1076,1154,236,300
201806260811_005,13,14,Motorboat,521,534,272,286
201806260811_006,14,15,Motorboat,724,738,273,288
201806260811_007,22,21,Motorboat,967,989,275,296
201806260811_008,35,28,Motorboat,1100,1135,278,306
201806260811_010,6,36,Seamark,223,229,294,330
201806260811_011,12,70,Seamark,95,107,318,388
201806260811_014,6,13,Seamark,613,619,281,294
201806260811_015,19,32,Seamark,885,904,259,291
201806260811_016,62,21,Passengership,617,679,260,281
201806260811_017,75,27,Passengership,936,1011,262,289
201806260811_023,6,18,Seamark,699,705,271,289
201806260811_024,13,32,Seamark,501,514,273,305
201806260811_008,38,13,Boat,16,54,294,307
201806260811_008,28,21,Boat,82,110,287,308
201806260811_014,19,9,Boat,734,753,283,292
201806260811_024,39,34,Boat,25,64,298,332
201806260811_010,90,217,Sailboat,8,98,117,334
201806260811_013,171,404,Sailboat,1110,1281,1,405
201806260811_014,129,25,Passengership,681,810,262,287
201806260811_023,59,75,Militaryship,835,894,205,280
201806260811_023,141,57,Militaryship,694,835,222,279
201806260811_008,3,27,Seamark,19,22,303,330
201806260811_008,3,28,Seamark,55,58,300,328
201806260811_008,4,30,Seamark,89,93,299,329
201806260811_010,6,58,Seamark,1086,1092,296,354
201806260811_013,10,99,Seamark,664,674,338,437
201806260811_014,19,66,Seamark,17,36,323,389
201806260811_024,10,17,Seamark,452,462,274,291
201806260811_024,13,15,Seamark,859,872,283,298
201806260811_024,24,43,Seamark,1038,1062,282,325
201806260811_002,71,20,Cargoship,842,913,259,279
201806260811_003,76,27,Cargoship,977,1053,258,285
201806260811_004,94,30,Cargoship,930,1024,256,286
201806260811_005,119,37,Cargoship,1058,1177,253,290
201806260821_000,7,24,Seamark,778,785,276,300
201806260821_001,6,29,Seamark,819,825,284,313
201806260821_000,246,117,Militaryship,832,1078,180,297
201806260821_001,319,138,Militaryship,859,1178,162,300
201806260821_002,329,147,Militaryship,942,1271,161,308
201806260821_003,283,142,Militaryship,995,1278,179,321
201806260821_001,15,45,Sailboat,467,482,241,286
201806260821_002,10,64,Sailboat,471,481,225,289
201806260821_003,30,98,Sailboat,360,390,200,298
201806260821_004,46,167,Sailboat,195,241,154,321
201806260821_011,92,73,Miscboat,12,104,258,331
201806260821_012,82,101,Militaryship,2,84,207,308
201806260821_013,86,129,Militaryship,42,128,183,312
201806260821_014,206,189,Militaryship,-85,121,141,330
201806260821_010,17,75,Sailboat,26,43,231,306
201806260821_011,25,134,Sailboat,198,223,174,308
201806260821_015,156,178,Militaryship,78,234,153,331
201806260821_016,126,258,Militaryship,3,129,107,365
201806260821_014,51,65,Cruiseship,186,237,228,293
201806260821_015,94,86,Cruiseship,313,407,206,292
201806260821_016,121,108,Cruiseship,356,477,190,298
201806260821_017,174,130,Cruiseship,254,428,173,303
201806260821_018,229,159,Cruiseship,173,402,156,315
201806260821_019,466,278,Cruiseship,-108,358,68,346
201806260821_019,44,82,Militaryship,352,396,213,295
201806260821_020,129,108,Militaryship,122,251,209,317
201806260821_016,34,52,Militaryship,484,518,235,287
201806260821_017,45,58,Militaryship,431,476,229,287
201806260821_018,47,76,Militaryship,417,464,223,299
201806260821_019,66,86,Militaryship,400,466,212,298
201806260821_020,119,117,Militaryship,254,373,194,311
201806260821_021,83,46,Militaryship,91,174,274,320
201806260821_022,127,102,Militaryship,50,177,233,335
201806260821_017,21,10,Miscboat,484,505,271,281
201806260821_018,23,11,Miscboat,484,507,272,283
201806260821_019,25,12,Miscboat,482,507,271,283
201806260821_020,40,22,Miscboat,405,445,272,294
201806260821_020,9,6,Boat,573,582,276,282
201806260821_021,12,11,Boat,450,462,278,289
201806260821_022,20,17,Boat,427,447,283,300
201806260821_023,49,26,Boat,99,148,312,338
201806260821_024,50,28,Motorboat,206,256,279,307
201806260821_014,29,96,Sailboat,238,267,189,285
201806260821_015,58,126,Sailboat,418,476,169,295
201806260821_016,41,124,Sailboat,527,568,155,279
201806260821_017,64,150,Sailboat,476,540,137,287
201806260821_018,76,158,Sailboat,476,552,125,283
201806260821_019,71,172,Sailboat,488,559,110,282
201806260821_020,113,220,Sailboat,394,507,65,285
201806260821_021,180,296,Sailboat,212,392,9,305
201806260821_022,223,314,Sailboat,178,401,1,315
201806260821_023,293,335,Sailboat,8,301,6,341
201806260821_024,151,337,Sailboat,0,151,4,341
201806260821_017,20,8,Passengership,537,557,270,278
201806260821_018,22,9,Passengership,548,570,270,279
201806260821_019,24,10,Passengership,560,584,269,279
201806260821_020,24,13,Passengership,514,538,271,284
201806260821_021,26,14,Passengership,388,414,275,289
201806260821_022,29,15,Passengership,402,431,276,291
201806260821_023,72,28,Passengership,279,351,278,306
201806260821_024,92,46,Passengership,130,222,279,325
201806260821_023,41,22,Motorboat,356,397,275,297
201806260821_024,60,27,Motorboat,247,307,282,309
201806260821_025,90,48,Motorboat,1,91,297,345
201806260821_025,16,24,Motorboat,365,381,262,286
201806260821_026,19,16,Motorboat,387,406,268,284
201806260821_027,23,24,Motorboat,403,426,265,289
201806260821_019,19,36,Sailboat,671,690,240,276
201806260821_020,19,39,Sailboat,650,669,238,277
201806260821_022,26,65,Sailboat,621,647,216,281
201806260821_023,29,76,Sailboat,604,633,205,281
201806260821_024,32,85,Sailboat,571,603,198,283
201806260821_025,43,106,Sailboat,606,649,180,286
201806260821_026,49,121,Sailboat,656,705,167,288
201806260821_027,77,202,Sailboat,757,834,102,304
201806260821_027,38,62,Sailboat,488,526,222,284
201806260821_026,24,8,Ferry,479,503,268,276
201806260821_020,130,312,Cruiseship,3,133,42,354
201806260821_005,77,17,Motorboat,1098,1175,273,290
201806260821_011,35,29,Motorboat,1142,1177,263,292
201806260821_020,28,25,Militaryship,374,402,271,296
201806260821_000,60,63,Militaryship,1213,1273,216,279
201806260821_000,108,153,Militaryship,1091,1199,148,301
201806260821_014,48,98,Militaryship,134,182,209,307
201806260821_005,45,17,Miscboat,1022,1067,271,288
201806260821_026,15,18,Miscboat,595,610,261,279
201806260821_015,79,82,Miscboat,0,79,256,338
201806260821_000,36,96,Seamark,915,951,261,357
201806260821_003,30,108,Seamark,1225,1255,315,423
201806260821_004,16,12,Miscellaneous,769,785,355,367
201806260821_004,6,7,Miscellaneous,788,794,358,365
201806260821_004,5,7,Miscellaneous,763,768,359,366
201806260821_005,18,19,Boat,1104,1122,276,295
201806260831_000,58,48,Motorboat,207,265,263,311
201806260831_001,50,68,Motorboat,1,51,267,335
201806260831_002,76,126,Sailboat,184,260,185,311
201806260831_003,60,189,Sailboat,5,65,152,341
201806260831_000,34,59,Miscboat,697,731,235,294
201806260831_001,54,84,Miscboat,702,756,214,298
201806260831_002,91,100,Miscboat,798,889,218,318
201806260831_003,245,443,Miscboat,1030,1275,3,446
201806260831_000,37,86,Sailboat,418,455,208,294
201806260831_001,51,94,Sailboat,402,453,194,288
201806260831_002,64,122,Sailboat,374,438,172,294
201806260831_003,54,120,Sailboat,358,412,190,310
201806260831_004,76,139,Sailboat,296,372,169,308
201806260831_005,96,168,Sailboat,328,424,134,302
201806260831_006,91,222,Sailboat,243,334,91,313
201806260831_003,104,192,Sailboat,243,347,120,312
201806260831_004,144,244,Sailboat,130,274,79,323
201806260831_005,117,199,Sailboat,10,127,137,336
201806260831_005,90,161,Sailboat,236,326,150,311
201806260831_006,75,203,Sailboat,164,239,118,321
201806260831_002,48,109,Sailboat,262,310,199,308
201806260831_003,82,237,Sailboat,59,141,107,344
201806260831_002,37,91,Sailboat,462,499,196,287
201806260831_003,50,120,Sailboat,415,465,178,298
201806260831_005,114,180,Sailboat,155,269,139,319
201806260831_006,153,257,Sailboat,6,159,95,352
201806260831_002,17,19,Motorboat,737,754,275,294
201806260831_003,35,40,Motorboat,789,824,272,312
201806260831_004,75,55,Motorboat,893,968,278,333
201806260831_005,130,108,Motorboat,1149,1279,308,416
201806260831_001,8,5,Boat,535,543,276,281
201806260831_002,9,5,Boat,549,558,281,286
201806260831_003,21,23,Boat,486,507,279,302
201806260831_004,26,22,Boat,455,481,291,313
201806260831_005,69,46,Boat,203,272,318,364
201806260831_002,9,7,Boat,725,734,282,289
201806260831_003,26,19,Boat,759,785,279,298
201806260831_004,32,28,Boat,848,880,285,313
201806260831_005,44,34,Boat,945,989,301,335
201806260831_006,111,81,Boat,1170,1281,335,416
201806260831_002,20,6,Miscboat,650,670,265,271
201806260831_003,22,7,Miscboat,659,681,265,272
201806260831_005,21,7,Miscboat,688,709,267,274
201806260831_001,44,16,Ferry,484,528,266,282
201806260831_002,38,23,Passengership,516,554,255,278
201806260831_003,68,27,Ferry,601,669,259,286
201806260831_004,74,24,Ferry,681,755,262,286
201806260831_005,46,35,Passengership,512,558,249,284
201806260831_006,84,40,Miscboat,704,788,251,291
201806260831_007,58,38,Passengership,889,947,241,279
201806260831_008,132,77,Passengership,917,1049,232,309
201806260831_009,186,144,Passengership,1092,1278,211,355
201806260831_002,12,90,Sailboat,712,724,194,284
201806260831_003,32,124,Sailboat,731,763,168,292
201806260831_004,33,150,Sailboat,796,829,148,298
201806260831_005,41,43,Passengership,785,826,248,291
201806260831_006,71,55,Passengership,786,857,242,297
201806260831_007,145,181,Passengership,983,1128,145,326
201806260831_005,48,192,Sailboat,829,877,115,307
201806260831_006,82,285,Sailboat,869,951,45,330
201806260831_007,58,44,Passengership,533,591,241,285
201806260831_008,76,85,Passengership,370,446,207,292
201806260831_009,115,107,Passengership,302,417,201,308
201806260831_010,156,138,Passengership,165,321,185,323
201806260831_011,174,183,Passengership,7,181,161,344
201806260831_002,46,14,Ferry,565,611,266,280
201806260831_003,52,15,Ferry,616,668,265,280
201806260831_004,50,14,Ferry,694,744,266,280
201806260831_005,69,24,Ferry,714,783,263,287
201806260831_007,132,45,Ferry,837,969,254,299
201806260831_008,285,78,Ferry,919,1204,261,339
201806260831_007,61,86,Miscboat,380,441,215,301
201806260831_008,109,150,Miscboat,58,167,180,330
201806260831_005,25,18,Miscboat,490,515,266,284
201806260831_006,28,20,Miscboat,441,469,266,286
201806260831_007,51,29,Miscboat,482,533,262,291
201806260831_008,88,42,Miscboat,270,358,261,303
201806260831_009,141,69,Miscboat,134,275,258,327
201806260831_008,37,42,Passengership,897,934,257,299
201806260831_009,87,74,Passengership,997,1084,254,328
201806260831_010,148,122,Passengership,1134,1282,248,370
201806260831_008,48,34,Miscboat,850,898,258,292
201806260831_009,63,44,Miscboat,921,984,257,301
201806260831_010,111,64,Miscboat,981,1092,267,331
201806260831_011,75,90,Miscboat,1201,1276,275,365
201806260831_008,15,18,Miscboat,835,850,271,289
201806260831_009,15,19,Miscboat,889,904,273,292
201806260831_010,55,35,Miscboat,917,972,274,309
201806260831_011,95,52,Miscboat,1033,1128,281,333
201806260831_008,11,14,Miscboat,787,798,269,283
201806260831_009,12,15,Miscboat,818,830,269,284
201806260831_010,13,16,Miscboat,815,828,269,285
201806260831_011,45,33,Miscboat,846,891,266,299
201806260831_012,79,66,Miscboat,1063,1142,264,330
201806260831_008,28,29,Miscboat,803,831,259,288
201806260831_009,36,37,Miscboat,842,878,256,293
201806260831_010,45,46,Miscboat,857,902,252,298
201806260831_011,93,64,Miscboat,929,1022,248,312
201806260831_008,37,47,Passengership,444,481,240,287
201806260831_009,28,56,Passengership,424,452,237,293
201806260831_010,62,49,Passengership,320,382,250,299
201806260831_011,101,74,Passengership,192,293,248,322
201806260831_012,69,80,Passengership,1,70,275,355
201806260831_011,34,38,Miscboat,893,927,268,306
201806260831_012,61,190,Miscboat,1219,1280,167,357
201806260831_008,24,24,Motorboat,769,793,260,284
201806260831_009,26,26,Motorboat,794,820,259,285
201806260831_010,35,30,Motorboat,782,817,261,291
201806260831_011,38,34,Motorboat,804,842,260,294
201806260831_012,100,61,Motorboat,950,1050,256,317
201806260831_005,21,19,Passengership,572,593,258,277
201806260831_006,35,23,Passengership,533,568,259,282
201806260831_007,30,20,Passengership,622,652,260,280
201806260831_008,31,21,Passengership,505,536,263,284
201806260831_009,37,29,Passengership,493,530,260,289
201806260831_010,37,29,Passengership,441,478,262,291
201806260831_011,56,50,Passengership,388,444,244,294
201806260831_012,75,57,Passengership,353,428,248,305
201806260831_013,127,107,Passengership,160,287,217,324
201806260831_014,62,143,Passengership,7,69,199,342
201806260831_005,8,7,Motorboat,609,617,268,275
201806260831_006,9,8,Motorboat,578,587,267,275
201806260831_007,9,8,Motorboat,670,679,267,275
201806260831_008,8,13,Motorboat,562,570,264,277
201806260831_009,9,14,Motorboat,562,571,264,278
201806260831_010,16,12,Motorboat,514,530,271,283
201806260831_011,16,10,Motorboat,494,510,273,283
201806260831_012,18,11,Motorboat,521,539,274,285
201806260831_013,29,20,Motorboat,436,465,273,293
201806260831_014,36,20,Motorboat,319,355,277,297
201806260831_015,53,35,Motorboat,187,240,275,310
201806260831_016,74,47,Motorboat,109,183,276,323
201806260831_016,14,12,Boat,563,577,291,303
201806260831_017,20,14,Boat,396,416,315,329
201806260831_005,27,10,Motorboat,636,663,264,274
201806260831_006,30,11,Motorboat,606,636,263,274
201806260831_007,33,12,Motorboat,702,735,261,273
201806260831_008,10,15,Motorboat,619,629,262,277
201806260831_009,11,16,Motorboat,625,636,262,278
201806260831_010,12,18,Motorboat,589,601,261,279
201806260831_011,11,17,Motorboat,577,588,263,280
201806260831_012,12,19,Motorboat,624,636,261,280
201806260831_013,13,21,Motorboat,565,578,260,281
201806260831_014,21,25,Motorboat,479,500,261,286
201806260831_015,25,32,Motorboat,413,438,262,294
201806260831_016,36,19,Motorboat,439,475,273,292
201806260831_017,41,23,Motorboat,386,427,273,296
201806260831_018,61,41,Motorboat,344,405,271,312
201806260831_019,89,48,Motorboat,241,330,279,327
201806260831_008,19,8,Miscboat,598,617,268,276
201806260831_009,25,22,Miscboat,600,625,259,281
201806260831_010,23,20,Miscboat,565,588,260,280
201806260831_011,21,18,Miscboat,555,576,262,280
201806260831_012,34,21,Miscboat,593,627,262,283
201806260831_013,31,19,Miscboat,535,566,265,284
201806260831_014,28,17,Miscboat,447,475,269,286
201806260831_015,40,34,Miscboat,365,405,261,295
201806260831_016,53,32,Miscboat,384,437,267,299
201806260831_017,74,34,Miscboat,305,379,271,305
201806260831_018,130,59,Miscboat,192,322,263,322
201806260831_019,174,75,Miscboat,40,214,274,349
201806260831_020,74,24,Motorboat,1045,1119,284,308
201806260831_021,76,24,Motorboat,983,1059,286,310
201806260831_022,102,33,Motorboat,1052,1154,298,331
201806260831_004,57,47,Boat,981,1038,314,361
201806260831_005,47,62,Boat,1098,1145,323,385
201806260831_007,117,82,Sailboat,1,118,283,365
201806260831_001,52,82,Sailboat,300,352,214,296
201806260831_002,54,136,Sailboat,293,347,168,304
201806260831_005,66,336,Sailboat,0,66,21,357
201806260831_017,81,73,Motorboat,1097,1178,259,332
201806260831_007,86,39,Motorboat,116,202,303,342
201806260831_022,56,29,Motorboat,973,1029,293,322
201806260831_000,93,146,Miscboat,1187,1280,299,445
201806260831_010,17,10,Miscellaneous,393,410,420,430
201806260841_000,70,36,Passengership,947,1017,263,299
201806260841_001,100,50,Passengership,794,894,254,304
201806260841_002,163,68,Passengership,1002,1165,253,321
201806260841_000,52,20,Ferry,652,704,262,282
201806260841_001,48,16,Ferry,400,448,265,281
201806260841_002,70,22,Ferry,454,524,262,284
201806260841_003,58,18,Ferry,373,431,264,282
201806260841_004,73,24,Ferry,353,426,263,287
201806260841_005,142,118,Ferry,333,475,192,310
201806260841_006,130,108,Ferry,245,375,196,304
201806260841_007,171,58,Ferry,121,292,259,317
201806260841_008,180,66,Passengership,120,300,238,304
201806260841_009,179,114,Passengership,1,180,211,325
201806260841_001,32,29,Motorboat,296,328,267,296
201806260841_002,47,34,Motorboat,323,370,264,298
201806260841_003,109,73,Motorboat,19,128,258,331
201806260841_001,36,29,Passengership,650,686,258,287
201806260841_002,50,33,Passengership,793,843,258,291
201806260841_003,73,82,Passengership,807,880,223,305
201806260841_004,211,144,Passengership,1036,1247,223,367
201806260841_002,21,14,Miscboat,422,443,269,283
201806260841_003,47,26,Miscboat,296,343,265,291
201806260841_004,74,35,Miscboat,196,270,263,298
201806260841_005,134,51,Miscboat,30,164,274,325
201806260841_000,38,48,Passengership,792,830,237,285
201806260841_001,49,43,Passengership,600,649,243,286
201806260841_002,61,41,Passengership,730,791,247,288
201806260841_003,88,82,Passengership,710,798,218,300
201806260841_004,162,150,Passengership,825,987,181,331
201806260841_005,163,286,Passengership,1117,1280,92,378
201806260841_004,46,42,Miscboat,267,313,250,292
201806260841_005,104,50,Miscboat,171,275,258,308
201806260841_002,23,18,Miscboat,705,728,265,283
201806260841_003,25,20,Miscboat,683,708,266,286
201806260841_004,72,57,Miscboat,755,827,250,307
201806260841_005,126,60,Miscboat,945,1071,260,320
201806260841_006,202,96,Miscboat,1024,1226,263,359
201806260841_002,15,18,Passengership,445,460,263,281
201806260841_003,27,28,Passengership,356,383,255,283
201806260841_004,39,40,Passengership,314,353,249,289
201806260841_005,74,52,Passengership,291,365,250,302
201806260841_006,115,69,Passengership,119,234,244,313
201806260841_007,68,109,Passengership,1,69,230,339
201806260841_004,11,10,Boat,516,527,276,286
201806260841_005,16,17,Boat,572,588,283,300
201806260841_006,49,33,Boat,433,482,295,328
201806260841_004,45,70,Miscboat,709,754,225,295
201806260841_005,56,93,Miscboat,852,908,212,305
201806260841_006,70,121,Miscboat,853,923,195,316
201806260841_007,117,175,Miscboat,915,1032,164,339
201806260841_008,104,103,Miscboat,1169,1273,267,370
201806260841_002,43,11,Ferry,468,511,268,279
201806260841_005,107,30,Ferry,366,473,261,291
201806260841_006,125,35,Ferry,254,379,261,296
201806260841_008,214,57,Ferry,20,234,267,324
201806260841_007,20,98,Sailboat,370,390,191,289
201806260841_008,23,119,Sailboat,408,431,172,291
201806260841_007,17,7,Motorboat,406,423,277,284
201806260841_008,17,8,Motorboat,463,480,277,285
201806260841_009,19,9,Motorboat,431,450,279,288
201806260841_010,29,15,Motorboat,368,397,280,295
201806260841_011,50,23,Motorboat,267,317,285,308
201806260841_012,64,33,Motorboat,171,235,291,324
201806260841_005,76,106,Sailboat,706,782,182,288
201806260841_006,52,128,Sailboat,680,732,170,298
201806260841_007,94,139,Sailboat,654,748,153,292
201806260841_008,97,159,Sailboat,752,849,142,301
201806260841_009,133,219,Sailboat,773,906,92,311
201806260841_010,230,289,Sailboat,787,1017,31,320
